f_property_type,f_neighbourhood,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,n_days_since_rv,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_baby,d_stove,d_microwave,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type
Entire serviced apartment,Songjiang District,100,99,9,2,1,1,19,4.94,8,0.39,1,1469,1,1,1,1,1,1,1,1,0,0,0,0,1,7989,22088177,Songjiang District,Entire serviced apartment
Entire serviced apartment,Songjiang District,100,99,9,2,1,1,36,4.75,8,0.75,1,1448,1,1,1,1,1,1,1,1,0,0,0,0,1,332,22088867,Songjiang District,Entire serviced apartment
Entire rental unit,Hongkou District,100,99,6,2,1,1,31,4.65,4,0.64,1.5,1459,1,1,1,0,1,1,1,1,0,1,0,0,1,261,22131130,Hongkou District,Entire rental unit
Entire rental unit,Baoshan District,100,92,6,4,2,2,8,4.75,7,0.17,2,1419,1,1,1,0,0,1,0,1,0,0,0,0,0,268,22142079,Baoshan District,Entire rental unit
Entire loft,Hongkou District,100,100,8,4,1,2,127,4.69,8,2.59,1,1469,0,1,1,1,1,1,1,1,0,1,1,0,1,446,22143845,Hongkou District,Entire loft
Entire rental unit,Hongkou District,100,99,4,3,1,2,51,4.84,3,1.05,1,1453,0,1,1,0,1,1,1,1,0,0,1,0,1,297,22152035,Hongkou District,Entire rental unit
Entire rental unit,Huangpu District,100,100,13,4,2,2,17,4.82,6,0.39,1,1310,0,1,1,1,1,1,1,1,0,0,0,0,1,594,22156054,Huangpu District,Entire rental unit
Entire rental unit,Pudong,100,99,12,6,3,3,2,5,10,0.04,2,1406,1,1,1,1,1,1,1,1,1,1,1,0,1,894,22156351,Pudong,Entire rental unit
Entire rental unit,Hongkou District,NA,NA,2,3,NA,2,5,4.2,2,0.1,1,1455,0,1,1,1,1,1,0,1,0,0,0,0,0,485,22159781,Hongkou District,Entire rental unit
Entire rental unit,Qingpu District,100,100,2,4,2,2,86,4.83,2,1.75,1,1470,1,1,1,1,1,1,1,1,0,1,1,1,1,295,22165238,Qingpu District,Entire rental unit
Entire rental unit,Pudong,100,100,12,2,1,1,210,4.95,11,4.38,1,1437,1,1,1,1,1,1,1,1,0,1,1,0,1,421,22202694,Pudong,Entire rental unit
Entire rental unit,Xuhui District,100,99,12,2,1,1,23,4.91,11,0.47,1,1459,1,1,1,1,1,1,1,1,0,1,1,0,1,259,22209981,Xuhui District,Entire rental unit
Entire loft,Songjiang District,NA,100,1,4,2,2,36,4.91,1,0.74,1,1464,1,1,1,1,1,1,1,1,1,1,0,0,1,558,22215334,Songjiang District,Entire loft
Entire rental unit,Huangpu District,100,100,2,4,1,2,42,4.93,3,0.87,1,1454,1,1,1,1,1,1,1,1,0,1,0,0,0,375,22221223,Huangpu District,Entire rental unit
Entire rental unit,Pudong,100,100,12,2,1,1,226,4.94,11,4.68,1.5,1449,1,1,1,1,1,1,1,1,0,1,0,0,1,476,22223986,Pudong,Entire rental unit
Entire rental unit,Pudong,100,64,20,3,1,2,0,NA,24,NA,1,NA,0,1,1,0,1,1,1,1,0,1,0,0,1,428,22224869,Pudong,Entire rental unit
Entire loft,Jiading District,100,100,29,4,1,2,39,4.92,33,0.82,1,1420,1,1,1,1,1,1,1,1,0,1,1,1,0,394,22232182,Jiading District,Entire loft
Entire serviced apartment,Songjiang District,100,99,11,4,1,2,23,4.74,4,0.47,1.5,1462,1,1,1,1,1,1,1,1,0,0,0,0,1,260,22233318,Songjiang District,Entire serviced apartment
Entire rental unit,Qingpu District,100,100,2,2,1,1,5,5,2,0.11,1,1365,1,1,1,1,1,0,0,1,0,0,0,0,0,358,22233790,Qingpu District,Entire rental unit
Entire serviced apartment,Pudong,97,100,32,2,1,1,53,4.72,44,1.1,1,1442,1,1,1,1,1,1,1,1,0,0,1,0,1,226,22234103,Pudong,Entire serviced apartment
Entire serviced apartment,Xuhui District,100,98,23,2,1,1,50,4.76,23,1.03,1,1453,1,1,1,1,1,1,1,1,0,0,1,0,1,735,22253730,Xuhui District,Entire serviced apartment
Entire serviced apartment,Huangpu District,100,92,4,3,1,3,79,4.91,3,1.63,1.5,1457,1,1,1,0,1,1,1,1,0,1,1,0,1,498,22254276,Huangpu District,Entire serviced apartment
Entire rental unit,Huangpu District,100,99,28,4,1,1,29,4.76,11,0.63,1,1391,0,1,1,1,1,1,0,1,0,0,0,0,1,671,22282242,Huangpu District,Entire rental unit
